CpG Number,Start Position,End Position,Obs/Exp,%GC
6653,20584,20783,1.83,52.50
6654,20585,20784,1.83,52.50
6655,20586,20785,1.88,53.00
6656,20587,20786,1.83,52.50
6657,20588,20787,1.80,53.00
6658,20589,20788,1.80,53.00
6659,20590,20789,1.82,53.00
6660,20591,20790,1.77,53.50
6661,20592,20791,1.73,54.00
6662,20593,20792,1.73,54.00
6663,20594,20793,1.78,54.50
6664,20595,20794,1.78,54.50
6665,20596,20795,1.78,54.50
6666,20597,20796,1.78,54.50
6667,20598,20797,1.73,54.00
6668,20599,20798,1.72,54.00
6669,20600,20799,1.68,54.50
6670,20601,20800,1.67,54.50
6671,20602,20801,1.67,54.50
6672,20603,20802,1.74,54.50
6673,20604,20803,1.76,54.00
6674,20605,20804,1.76,54.00
6675,20606,20805,1.79,53.50
6676,20607,20806,1.78,53.50
6677,20608,20807,1.81,53.00
6678,20609,20808,1.81,53.00
6679,20610,20809,1.85,53.50
6680,20611,20810,1.82,54.00
6681,20612,20811,1.75,54.00
6682,20613,20812,1.75,54.00
6683,20614,20813,1.76,54.00
6684,20615,20814,1.74,54.50
6685,20616,20815,1.66,54.50
6686,20617,20816,1.66,54.50
6687,20618,20817,1.70,55.00
6688,20619,20818,1.73,54.50
6689,20620,20819,1.73,54.50
6690,20621,20820,1.74,54.50
6691,20622,20821,1.70,55.00
6692,20623,20822,1.74,54.50
6693,20624,20823,1.78,55.00
6694,20625,20824,1.71,55.00
6695,20626,20825,1.71,55.00
6696,20627,20826,1.68,55.50
6697,20628,20827,1.71,55.00
6698,20629,20828,1.71,55.00
6699,20630,20829,1.71,55.00
6700,20631,20830,1.67,55.50
6701,20632,20831,1.71,55.00
6702,20633,20832,1.67,55.50
6703,20634,20833,1.63,55.00
6704,20635,20834,1.67,54.50
6705,20636,20835,1.71,55.00
6706,20637,20836,1.67,54.50
6707,20638,20837,1.69,54.00
6708,20639,20838,1.69,54.00
6709,20640,20839,1.69,54.00
6710,20641,20840,1.61,54.00
6711,20642,20841,1.68,54.00
6712,20643,20842,1.68,54.00
6713,20644,20843,1.69,54.00
6714,20645,20844,1.65,53.50
6715,20646,20845,1.66,53.50
6716,20647,20846,1.59,53.50
6717,20648,20847,1.58,53.50
6718,20649,20848,1.58,53.50
6719,20650,20849,1.65,53.50
6720,20651,20850,1.68,53.00
6721,20652,20851,1.69,53.00
6722,20653,20852,1.66,53.50
6723,20654,20853,1.70,53.00
6724,20655,20854,1.70,53.00
6725,20656,20855,1.67,53.50
6726,20657,20856,1.59,53.50
6727,20658,20857,1.62,53.00
6728,20659,20858,1.71,53.00
6729,20660,20859,1.71,53.00
6730,20661,20860,1.64,53.00
6731,20662,20861,1.64,53.00
6732,20663,20862,1.61,53.50
6733,20664,20863,1.57,54.00
6734,20665,20864,1.54,54.50
6735,20666,20865,1.62,54.50
6736,20667,20866,1.66,54.00
6737,20668,20867,1.67,54.00
6738,20669,20868,1.67,54.00
6739,20670,20869,1.63,53.50
6740,20671,20870,1.67,53.00
6741,20672,20871,1.64,53.50
6742,20673,20872,1.68,53.00
6743,20674,20873,1.66,53.50
6744,20675,20874,1.62,54.00
6745,20676,20875,1.58,54.50
6746,20677,20876,1.53,54.00
6747,20678,20877,1.52,54.00
6748,20679,20878,1.54,53.50
6749,20680,20879,1.59,54.00
6750,20681,20880,1.57,54.00
6751,20682,20881,1.60,53.50
6752,20683,20882,1.60,53.50
6753,20684,20883,1.60,53.50
6754,20685,20884,1.52,53.50
6755,20686,20885,1.48,54.00
6756,20687,20886,1.51,53.50
6757,20688,20887,1.58,53.50
6758,20689,20888,1.58,53.50
6759,20690,20889,1.54,54.00
6760,20691,20890,1.50,53.50
6761,20692,20891,1.57,53.50
6762,20693,20892,1.54,54.00
6763,20694,20893,1.54,54.00
6764,20695,20894,1.53,54.00
6765,20696,20895,1.58,54.50
6766,20697,20896,1.58,54.50
6767,20698,20897,1.58,54.50
6768,20699,20898,1.58,54.50
6769,20700,20899,1.66,54.50
6770,20701,20900,1.61,54.00
6771,20702,20901,1.59,54.50
6772,20703,20902,1.58,54.50
6773,20704,20903,1.60,54.00
6774,20705,20904,1.60,54.00
6775,20706,20905,1.68,54.00
6776,20707,20906,1.68,54.00
6777,20708,20907,1.65,54.50
6778,20709,20908,1.60,54.00
6779,20710,20909,1.57,54.50
6780,20711,20910,1.60,54.00
6781,20712,20911,1.64,54.50
6782,20713,20912,1.64,54.50
6783,20714,20913,1.63,54.50
6784,20715,20914,1.66,54.00
6785,20716,20915,1.63,54.50
6786,20717,20916,1.66,54.00
6787,20718,20917,1.66,54.00
6788,20719,20918,1.69,53.50
6789,20720,20919,1.72,53.00
6790,20721,20920,1.72,53.00
6791,20722,20921,1.72,53.00
6792,20723,20922,1.76,52.50
6793,20724,20923,1.80,52.00
6794,20725,20924,1.80,52.00
6795,20726,20925,1.75,51.50
6796,20727,20926,1.75,51.50
6797,20728,20927,1.79,51.00
6798,20729,20928,1.83,50.50
6799,20730,20929,1.83,50.50
6800,20731,20930,1.83,50.50
6801,20732,20931,1.88,50.00
6802,20733,20932,1.88,50.00
6803,20734,20933,1.88,50.00
6804,20943,21142,1.86,50.00
6805,20944,21143,1.86,50.00
6806,20945,21144,1.90,50.50
6807,20946,21145,1.86,51.00
6808,20947,21146,1.82,51.50
6809,20948,21147,1.82,51.50
6810,20949,21148,1.82,51.50
6811,20950,21149,1.82,51.50
6812,20951,21150,1.82,51.50
6813,20952,21151,1.82,51.50
6814,20953,21152,1.82,51.50
6815,20954,21153,1.82,51.50
6816,20955,21154,1.82,51.50
6817,20956,21155,1.82,51.50
6818,20957,21156,1.82,51.50
6819,20958,21157,1.79,51.00
6820,20959,21158,1.79,51.00
6821,20960,21159,1.83,50.50
6822,20961,21160,1.90,50.50
6823,20962,21161,1.90,50.50
6824,20963,21162,1.95,50.00
6825,20978,21177,2.01,50.00
6826,20979,21178,2.01,50.00
6827,20980,21179,1.97,50.50
6828,20981,21180,1.93,51.00
6829,20982,21181,1.93,51.00
6830,20983,21182,1.93,51.00
6831,20984,21183,1.93,51.00
6832,20985,21184,1.89,51.50
6833,20986,21185,1.89,51.50
6834,20987,21186,1.86,52.00
6835,20988,21187,1.83,52.50
6836,20989,21188,1.86,53.00
6837,20990,21189,1.86,53.00
6838,20991,21190,1.82,53.50
6839,20992,21191,1.82,53.50
6840,20993,21192,1.82,53.50
6841,20994,21193,1.82,53.50
6842,20995,21194,1.79,54.00
6843,20996,21195,1.76,54.50
6844,20997,21196,1.73,55.00
6845,20998,21197,1.73,55.00
6846,20999,21198,1.76,55.50
6847,21000,21199,1.73,56.00
6848,21001,21200,1.73,56.00
6849,21002,21201,1.69,55.50
6850,21003,21202,1.66,56.00
6851,21004,21203,1.66,56.00
6852,21005,21204,1.66,56.00
6853,21006,21205,1.69,55.50
6854,21007,21206,1.66,55.00
6855,21008,21207,1.66,55.00
6856,21009,21208,1.69,55.50
6857,21010,21209,1.73,55.00
6858,21011,21210,1.73,55.00
6859,21012,21211,1.73,55.00
6860,21013,21212,1.73,55.00
6861,21014,21213,1.70,55.50
6862,21015,21214,1.64,55.50
6863,21016,21215,1.67,55.00
6864,21017,21216,1.70,55.50
6865,21018,21217,1.73,55.00
6866,21019,21218,1.70,55.50
6867,21020,21219,1.64,55.50
6868,21021,21220,1.64,55.50
6869,21022,21221,1.67,55.00
6870,21023,21222,1.67,55.00
6871,21024,21223,1.69,54.50
6872,21025,21224,1.69,54.50
6873,21026,21225,1.72,54.00
6874,21027,21226,1.72,54.00
6875,21028,21227,1.66,54.00
6876,21029,21228,1.66,54.00
6877,21030,21229,1.69,53.50
6878,21031,21230,1.66,54.00
6879,21032,21231,1.60,54.00
6880,21033,21232,1.60,54.00
6881,21034,21233,1.64,54.50
6882,21035,21234,1.65,54.50
6883,21036,21235,1.62,55.00
6884,21037,21236,1.66,54.50
6885,21038,21237,1.68,54.00
6886,21039,21238,1.72,54.50
6887,21040,21239,1.65,54.50
6888,21041,21240,1.62,55.00
6889,21042,21241,1.63,55.00
6890,21043,21242,1.67,54.50
6891,21044,21243,1.67,54.50
6892,21045,21244,1.61,54.50
6893,21046,21245,1.61,54.50
6894,21047,21246,1.57,54.00
6895,21048,21247,1.57,54.00
6896,21049,21248,1.57,54.00
6897,21050,21249,1.63,54.00
6898,21051,21250,1.63,54.00
6899,21052,21251,1.62,54.00
6900,21053,21252,1.56,54.00
6901,21054,21253,1.60,53.50
6902,21055,21254,1.66,53.50
6903,21056,21255,1.62,54.00
6904,21057,21256,1.61,54.00
6905,21058,21257,1.61,54.00
6906,21059,21258,1.64,53.50
6907,21060,21259,1.64,53.50
6908,21061,21260,1.64,53.50
6909,21062,21261,1.61,54.00
6910,21063,21262,1.61,54.00
6911,21064,21263,1.65,54.50
6912,21065,21264,1.58,54.50
6913,21066,21265,1.58,54.50
6914,21067,21266,1.61,55.00
6915,21068,21267,1.64,54.50
6916,21069,21268,1.63,54.50
6917,21070,21269,1.60,54.00
6918,21071,21270,1.59,54.00
6919,21072,21271,1.59,54.00
6920,21073,21272,1.56,54.50
6921,21074,21273,1.59,54.00
6922,21075,21274,1.59,54.00
6923,21076,21275,1.59,54.00
6924,21077,21276,1.59,54.00
6925,21078,21277,1.60,54.00
6926,21079,21278,1.67,54.00
6927,21080,21279,1.64,54.50
6928,21081,21280,1.61,55.00
6929,21082,21281,1.61,55.00
6930,21083,21282,1.65,55.50
6931,21084,21283,1.64,55.50
6932,21085,21284,1.58,55.50
6933,21086,21285,1.64,55.50
6934,21087,21286,1.67,55.00
6935,21088,21287,1.63,55.50
6936,21089,21288,1.60,56.00
6937,21090,21289,1.60,56.00
6938,21091,21290,1.60,56.00
6939,21092,21291,1.57,56.50
6940,21093,21292,1.57,56.50
6941,21094,21293,1.59,56.00
6942,21095,21294,1.59,56.00
6943,21096,21295,1.53,56.00
6944,21097,21296,1.56,55.50
6945,21098,21297,1.59,55.00
6946,21099,21298,1.56,55.50
6947,21100,21299,1.56,55.50
6948,21101,21300,1.59,56.00
6949,21102,21301,1.53,56.00
6950,21103,21302,1.56,55.50
6951,21104,21303,1.56,55.50
6952,21105,21304,1.53,56.00
6953,21106,21305,1.53,56.00
6954,21107,21306,1.56,55.50
6955,21108,21307,1.59,55.00
6956,21109,21308,1.55,54.50
6957,21110,21309,1.59,55.00
6958,21111,21310,1.62,54.50
6959,21112,21311,1.62,54.50
6960,21113,21312,1.59,55.00
6961,21114,21313,1.59,55.00
6962,21115,21314,1.62,54.50
6963,21116,21315,1.62,54.50
6964,21117,21316,1.55,54.50
6965,21118,21317,1.58,54.00
6966,21119,21318,1.65,54.00
6967,21120,21319,1.62,54.50
6968,21121,21320,1.62,54.50
6969,21122,21321,1.65,55.00
6970,21123,21322,1.65,55.00
6971,21124,21323,1.68,54.50
6972,21125,21324,1.68,54.50
6973,21126,21325,1.62,54.50
6974,21127,21326,1.65,54.00
6975,21128,21327,1.72,54.00
6976,21129,21328,1.68,53.50
6977,21130,21329,1.71,53.00
6978,21131,21330,1.74,52.50
6979,21132,21331,1.75,52.50
6980,21133,21332,1.75,52.50
6981,21134,21333,1.78,52.00
6982,21135,21334,1.78,52.00
6983,21136,21335,1.78,52.00
6984,21137,21336,1.82,51.50
6985,21138,21337,1.86,51.00
6986,21139,21338,1.86,51.00
6987,21140,21339,1.86,51.00
6988,21141,21340,1.81,50.50
6989,21142,21341,1.85,50.00
6990,21148,21347,1.87,50.00
6991,21149,21348,1.83,50.50
6992,21150,21349,1.83,50.50
6993,21151,21350,1.83,50.50
6994,21152,21351,1.83,50.50
6995,21153,21352,1.79,51.00
6996,21154,21353,1.79,51.00
6997,21155,21354,1.79,51.00
6998,21156,21355,1.79,51.00
6999,21157,21356,1.79,51.00
7000,21158,21357,1.84,51.50
7001,21159,21358,1.84,51.50
7002,21160,21359,1.84,51.50
7003,21161,21360,1.79,51.00
7004,21162,21361,1.75,51.50
7005,21163,21362,1.75,51.50
7006,21164,21363,1.80,52.00
7007,21165,21364,1.77,52.50
7008,21166,21365,1.74,53.00
7009,21167,21366,1.74,53.00
7010,21168,21367,1.70,53.50
7011,21169,21368,1.67,54.00
7012,21170,21369,1.66,54.00
7013,21171,21370,1.66,54.00
7014,21172,21371,1.63,54.50
7015,21173,21372,1.66,54.00
7016,21174,21373,1.66,54.00
7017,21175,21374,1.68,53.50
7018,21176,21375,1.65,54.00
7019,21177,21376,1.65,54.00
7020,21178,21377,1.58,54.00
7021,21179,21378,1.58,54.00
7022,21180,21379,1.65,54.00
7023,21181,21380,1.68,53.50
7024,21182,21381,1.65,54.00
7025,21183,21382,1.62,54.50
7026,21184,21383,1.62,54.50
7027,21185,21384,1.65,54.00
7028,21186,21385,1.68,54.50
7029,21187,21386,1.72,54.00
7030,21188,21387,1.75,53.50
7031,21189,21388,1.71,53.00
7032,21190,21389,1.68,53.50
7033,21191,21390,1.68,53.50
7034,21192,21391,1.68,53.50
7035,21193,21392,1.68,53.50
7036,21194,21393,1.68,53.50
7037,21195,21394,1.75,53.50
7038,21196,21395,1.78,53.00
7039,21197,21396,1.78,53.00
7040,21198,21397,1.75,53.50
7041,21199,21398,1.71,53.00
7042,21200,21399,1.78,53.00
7043,21201,21400,1.75,53.50
7044,21202,21401,1.75,53.50
7045,21203,21402,1.75,53.50
7046,21204,21403,1.78,53.00
7047,21205,21404,1.78,53.00
7048,21206,21405,1.78,53.00
7049,21207,21406,1.78,53.00
7050,21208,21407,1.81,52.50
7051,21209,21408,1.78,52.00
7052,21210,21409,1.78,52.00
7053,21211,21410,1.74,52.50
7054,21212,21411,1.74,52.50
7055,21213,21412,1.71,53.00
7056,21214,21413,1.78,53.00
7057,21215,21414,1.78,53.00
7058,21216,21415,1.78,53.00
7059,21217,21416,1.71,53.00
7060,21218,21417,1.71,53.00
7061,21219,21418,1.78,53.00
7062,21220,21419,1.78,53.00
7063,21221,21420,1.78,53.00
7064,21222,21421,1.75,53.50
7065,21223,21422,1.68,53.50
7066,21224,21423,1.68,53.50
7067,21225,21424,1.68,53.50
7068,21226,21425,1.68,53.50
7069,21227,21426,1.72,54.00
7070,21228,21427,1.72,54.00
7071,21229,21428,1.72,54.00
7072,21230,21429,1.72,54.00
7073,21231,21430,1.72,54.00
7074,21232,21431,1.79,54.00
7075,21233,21432,1.79,54.00
7076,21234,21433,1.75,53.50
7077,21235,21434,1.79,53.00
7078,21236,21435,1.82,52.50
7079,21237,21436,1.82,52.50
7080,21238,21437,1.79,53.00
7081,21239,21438,1.75,52.50
7082,21240,21439,1.75,52.50
7083,21241,21440,1.78,52.00
7084,21242,21441,1.82,51.50
7085,21243,21442,1.86,52.00
7086,21244,21443,1.90,51.50
7087,21245,21444,1.90,51.50
7088,21246,21445,1.94,51.00
7089,21247,21446,1.94,51.00
7090,21248,21447,1.98,51.50
7091,21249,21448,1.98,51.50
7092,21250,21449,1.91,51.50
7093,21251,21450,1.87,52.00
7094,21252,21451,1.86,52.00
7095,21253,21452,1.90,51.50
7096,21254,21453,1.94,52.00
7097,21255,21454,1.87,52.00
7098,21256,21455,1.90,51.50
7099,21257,21456,1.89,51.50
7100,21258,21457,1.89,51.50
7101,21259,21458,1.89,51.50
7102,21260,21459,1.86,52.00
7103,21261,21460,1.86,52.00
7104,21262,21461,1.93,52.00
7105,21263,21462,1.90,52.50
7106,21264,21463,1.86,52.00
7107,21265,21464,1.89,51.50
7108,21266,21465,1.93,51.00
7109,21267,21466,1.89,50.50
7110,21268,21467,1.93,51.00
7111,21269,21468,1.93,51.00
7112,21270,21469,1.89,51.50
7113,21271,21470,1.97,51.50
7114,21272,21471,1.97,51.50
7115,21273,21472,1.97,51.50
7116,21274,21473,1.93,52.00
7117,21275,21474,1.97,51.50
7118,21276,21475,1.97,51.50
7119,21277,21476,1.93,51.00
7120,21278,21477,1.97,50.50
7121,21279,21478,1.97,50.50
7122,21280,21479,1.97,50.50
7123,21281,21480,1.97,50.50
7124,21282,21481,2.01,50.00
7125,21283,21482,1.92,50.00
7126,21323,21522,1.92,50.00
7127,21324,21523,1.88,50.50
7128,21325,21524,1.88,50.50
7129,21326,21525,1.92,50.00
7130,21327,21526,1.92,50.00
7131,21330,21529,1.84,50.00
7132,21331,21530,1.84,50.00
7133,21332,21531,1.84,50.00
7134,21333,21532,1.84,50.00
7135,21334,21533,1.81,50.50
7136,21335,21534,1.84,50.00
7137,21336,21535,1.81,50.50
7138,21337,21536,1.85,51.00
7139,21338,21537,1.81,51.50
7140,21339,21538,1.78,52.00
7141,21340,21539,1.78,52.00
7142,21341,21540,1.78,52.00
7143,21342,21541,1.78,52.00
7144,21343,21542,1.78,52.00
7145,21344,21543,1.78,52.00
7146,21345,21544,1.74,51.50
7147,21346,21545,1.77,51.00
7148,21347,21546,1.81,50.50
7149,21348,21547,1.89,50.50
7150,21349,21548,1.93,50.00
7151,21350,21549,1.89,50.50
7152,21351,21550,1.93,51.00
7153,21352,21551,1.89,51.50
7154,21353,21552,1.93,51.00
7155,21354,21553,1.93,51.00
7156,21355,21554,1.89,51.50
7157,21356,21555,1.89,51.50
7158,21357,21556,1.89,51.50
7159,21358,21557,1.82,51.50
7160,21359,21558,1.82,51.50
7161,21360,21559,1.79,52.00
7162,21361,21560,1.75,52.50
7163,21362,21561,1.75,52.50
7164,21363,21562,1.75,52.50
7165,21364,21563,1.69,52.50
7166,21365,21564,1.72,52.00
7167,21366,21565,1.80,52.00
7168,21367,21566,1.77,52.50
7169,21368,21567,1.80,52.00
7170,21369,21568,1.83,51.50
7171,21370,21569,1.83,51.50
7172,21371,21570,1.83,51.50
7173,21372,21571,1.86,51.00
7174,21373,21572,1.86,51.00
7175,21374,21573,1.86,51.00
7176,21375,21574,1.86,51.00
7177,21376,21575,1.90,50.50
7178,21377,21576,1.93,50.00
7179,21701,21900,1.61,50.00
7180,21702,21901,1.59,50.50
7181,21703,21902,1.59,50.50
7182,21704,21903,1.59,50.50
7183,21705,21904,1.64,51.00
7184,21706,21905,1.59,50.50
7185,21707,21906,1.56,51.00
7186,21708,21907,1.56,51.00
7187,21709,21908,1.59,50.50
7188,21710,21909,1.56,51.00
7189,21711,21910,1.54,51.50
7190,21712,21911,1.54,51.50
7191,21713,21912,1.54,51.50
7192,21714,21913,1.54,51.50
7193,21715,21914,1.54,51.50
7194,21716,21915,1.54,51.50
7195,21717,21916,1.56,51.00
7196,21718,21917,1.59,50.50
7197,21719,21918,1.59,50.50
7198,21720,21919,1.59,50.50
7199,21721,21920,1.59,50.50
7200,21722,21921,1.49,50.50
7201,21723,21922,1.48,50.50
7202,21724,21923,1.46,50.50
7203,21725,21924,1.46,50.50
7204,21726,21925,1.45,50.50
7205,21727,21926,1.42,51.00
7206,21728,21927,1.41,51.00
7207,21729,21928,1.44,50.50
7208,21730,21929,1.40,51.00
7209,21731,21930,1.48,51.00
7210,21732,21931,1.51,50.50
7211,21733,21932,1.54,50.00
7212,21734,21933,1.51,50.50
7213,21735,21934,1.51,50.50
7214,21736,21935,1.51,50.50
7215,21737,21936,1.54,50.00
7216,21738,21937,1.59,50.50
7217,21739,21938,1.60,50.50
7218,21740,21939,1.64,50.00
7219,21741,21940,1.64,50.00
7220,21743,21942,1.55,50.00
7221,21744,21943,1.60,50.50
7222,21745,21944,1.58,51.00
7223,21746,21945,1.58,51.00
7224,21747,21946,1.58,51.00
7225,21748,21947,1.61,50.50
7226,21749,21948,1.71,50.50
7227,21750,21949,1.61,50.50
7228,21751,21950,1.64,50.00
7229,21752,21951,1.74,50.00
7230,21753,21952,1.74,50.00
7231,21754,21953,1.75,50.00
7232,21755,21954,1.75,50.00
7233,21756,21955,1.75,50.00
7234,21757,21956,1.75,50.00
7235,21758,21957,1.75,50.00
7236,21761,21960,1.74,50.00
7237,21762,21961,1.72,50.00
7238,21778,21977,1.77,50.00
7239,21779,21978,1.74,50.50
7240,21780,21979,1.74,50.50
7241,21781,21980,1.74,50.50
7242,21782,21981,1.74,50.50
7243,21783,21982,1.74,50.50
7244,21784,21983,1.70,51.00
7245,21785,21984,1.65,50.50
7246,21786,21985,1.65,50.50
7247,21787,21986,1.65,50.50
7248,21788,21987,1.73,50.50
7249,21789,21988,1.73,50.50
7250,21790,21989,1.70,51.00
7251,21791,21990,1.74,50.50
7252,21792,21991,1.71,51.00
7253,21793,21992,1.71,51.00
7254,21794,21993,1.62,51.00
7255,21795,21994,1.59,51.50
7256,21796,21995,1.59,51.50
7257,21797,21996,1.67,51.50
7258,21798,21997,1.70,51.00
7259,21799,21998,1.66,51.50
7260,21800,21999,1.69,51.00
7261,21801,22000,1.66,51.50
7262,21802,22001,1.74,51.50
7263,21803,22002,1.69,51.00
7264,21804,22003,1.69,51.00
7265,21805,22004,1.69,51.00
7266,21806,22005,1.70,51.00
7267,21807,22006,1.73,50.50
7268,21808,22007,1.73,50.50
7269,21809,22008,1.65,50.50
7270,21810,22009,1.65,50.50
7271,21811,22010,1.65,50.50
7272,21812,22011,1.69,50.00
7273,21813,22012,1.65,50.50
7274,21814,22013,1.62,51.00
7275,21815,22014,1.62,51.00
7276,21816,22015,1.65,50.50
7277,21817,22016,1.62,51.00
7278,21818,22017,1.60,51.50
7279,21819,22018,1.60,51.50
7280,21820,22019,1.63,51.00
7281,21821,22020,1.60,51.50
7282,21822,22021,1.57,52.00
7283,21823,22022,1.50,52.00
7284,21824,22023,1.50,52.00
7285,21825,22024,1.51,52.00
7286,21826,22025,1.52,52.00
7287,21827,22026,1.49,52.50
7288,21828,22027,1.52,52.00
7289,21829,22028,1.50,52.50
7290,21830,22029,1.48,53.00
7291,21831,22030,1.49,53.00
7292,21832,22031,1.49,53.00
7293,21833,22032,1.50,53.00
7294,21834,22033,1.48,53.50
7295,21835,22034,1.43,53.00
7296,21836,22035,1.46,52.50
7297,21837,22036,1.44,53.00
7298,21838,22037,1.42,53.50
7299,21839,22038,1.40,54.00
7300,21840,22039,1.40,54.00
7301,21841,22040,1.38,54.50
7302,21842,22041,1.36,55.00
7303,21843,22042,1.34,55.50
7304,21844,22043,1.34,55.50
7305,21845,22044,1.32,56.00
7306,21846,22045,1.30,56.50
7307,21847,22046,1.30,56.50
7308,21848,22047,1.30,56.50
7309,21849,22048,1.28,57.00
7310,21850,22049,1.27,57.50
7311,21851,22050,1.25,58.00
7312,21852,22051,1.25,58.00
7313,21853,22052,1.25,58.00
7314,21854,22053,1.23,58.50
7315,21855,22054,1.22,59.00
7316,21856,22055,1.22,59.00
7317,21857,22056,1.20,59.50
7318,21858,22057,1.13,59.50
7319,21859,22058,1.10,60.00
7320,21860,22059,1.13,59.50
7321,21861,22060,1.13,59.50
7322,21862,22061,1.08,59.00
7323,21863,22062,1.09,58.50
7324,21864,22063,1.09,58.50
7325,21865,22064,1.11,58.00
7326,21866,22065,1.08,58.50
7327,21867,22066,1.05,59.00
7328,21868,22067,1.07,58.50
7329,21869,22068,1.07,58.50
7330,21870,22069,1.13,58.50
7331,21871,22070,1.15,58.00
7332,21872,22071,1.12,58.50
7333,21873,22072,1.14,58.00
7334,21874,22073,1.14,58.00
7335,21875,22074,1.16,57.50
7336,21876,22075,1.21,58.00
7337,21877,22076,1.15,58.00
7338,21878,22077,1.17,57.50
7339,21879,22078,1.19,57.50
7340,21880,22079,1.19,57.50
7341,21881,22080,1.14,57.00
7342,21882,22081,1.12,57.50
7343,21883,22082,1.11,58.00
7344,21884,22083,1.12,57.50
7345,21885,22084,1.12,57.50
7346,21886,22085,1.13,57.50
7347,21887,22086,1.16,57.00
7348,21888,22087,1.16,57.00
7349,21889,22088,1.15,57.50
7350,21890,22089,1.08,57.50
7351,21891,22090,1.08,57.50
7352,21892,22091,1.08,57.50
7353,21893,22092,1.08,57.50
7354,21894,22093,1.11,57.00
7355,21895,22094,1.11,57.00
7356,21896,22095,1.14,56.50
7357,21897,22096,1.11,57.00
7358,21898,22097,1.05,56.50
7359,21899,22098,1.07,56.00
7360,21900,22099,1.12,56.50
7361,21901,22100,1.14,56.00
7362,21902,22101,1.14,56.00
7363,21903,22102,1.17,55.50
7364,21904,22103,1.17,55.50
7365,21905,22104,1.08,55.50
7366,21906,22105,1.08,55.50
7367,21907,22106,1.10,55.00
7368,21908,22107,1.11,54.50
7369,21909,22108,1.08,55.00
7370,21910,22109,1.10,54.50
7371,21911,22110,1.11,54.00
7372,21912,22111,1.13,53.50
7373,21913,22112,1.13,53.50
7374,21914,22113,1.19,54.00
7375,21915,22114,1.21,53.50
7376,21916,22115,1.21,53.50
7377,21917,22116,1.19,54.00
7378,21918,22117,1.17,54.50
7379,21919,22118,1.19,54.00
7380,21920,22119,1.22,53.50
7381,21921,22120,1.22,53.50
7382,21922,22121,1.24,53.50
7383,21923,22122,1.27,53.00
7384,21924,22123,1.29,53.00
7385,21925,22124,1.27,53.50
7386,21926,22125,1.29,53.50
7387,21927,22126,1.33,53.00
7388,21928,22127,1.37,52.50
7389,21929,22128,1.37,52.50
7390,21930,22129,1.41,52.00
7391,21931,22130,1.33,52.00
7392,21932,22131,1.31,52.50
7393,21933,22132,1.29,53.00
7394,21934,22133,1.32,53.00
7395,21935,22134,1.36,52.50
7396,21936,22135,1.36,52.50
7397,21937,22136,1.36,52.50
7398,21938,22137,1.29,52.00
7399,21939,22138,1.26,52.00
7400,21940,22139,1.22,52.50
7401,21941,22140,1.22,52.50
7402,21942,22141,1.29,53.00
7403,21943,22142,1.32,53.00
7404,21944,22143,1.24,52.50
7405,21945,22144,1.24,52.50
7406,21946,22145,1.24,52.50
7407,21947,22146,1.29,52.00
7408,21948,22147,1.29,52.00
7409,21949,22148,1.20,52.00
7410,21950,22149,1.22,52.00
7411,21951,22150,1.18,52.50
7412,21952,22151,1.10,52.00
7413,21953,22152,1.10,52.00
7414,21954,22153,1.12,51.50
7415,21955,22154,1.12,51.50
7416,21956,22155,1.12,51.50
7417,21957,22156,1.24,51.50
7418,21958,22157,1.16,51.00
7419,21959,22158,1.12,51.50
7420,21960,22159,1.13,51.00
7421,21961,22160,1.17,50.50
7422,21962,22161,1.22,50.00
7423,21963,22162,1.22,50.00
7424,21964,22163,1.35,50.00
7425,21965,22164,1.33,50.50
7426,21966,22165,1.25,50.00
7427,21967,22166,1.25,50.00
7428,21968,22167,1.23,50.50
7429,21969,22168,1.23,50.50
7430,21970,22169,1.23,50.50
7431,21971,22170,1.28,50.00
7432,22112,22311,1.89,50.00
7433,22113,22312,1.89,50.00
7434,22116,22315,1.78,50.00
7435,22117,22316,1.77,50.00
7436,22118,22317,1.75,50.00
7437,22119,22318,1.71,50.50
7438,22120,22319,1.76,51.00
7439,22121,22320,1.76,51.00
7440,22122,22321,1.75,51.00
7441,22123,22322,1.75,51.00
7442,22124,22323,1.73,51.00
7443,22125,22324,1.76,50.50
7444,22126,22325,1.80,50.00
7445,22127,22326,1.75,50.50
7446,22128,22327,1.75,50.50
7447,22129,22328,1.75,50.50
7448,22130,22329,1.75,50.50
7449,22131,22330,1.79,50.00
7450,22156,22355,1.94,50.00
7451,22158,22357,1.86,50.00
7452,22159,22358,1.87,50.00
7453,22160,22359,1.87,50.00
7454,22161,22360,1.83,50.50
7455,22162,22361,1.80,51.00
7456,22163,22362,1.77,51.50
7457,22164,22363,1.69,51.50
7458,22165,22364,1.76,51.50
7459,22166,22365,1.72,52.00
7460,22167,22366,1.69,52.50
7461,22168,22367,1.72,52.00
7462,22169,22368,1.80,52.00
7463,22170,22369,1.80,52.00
7464,22171,22370,1.80,52.00
7465,22172,22371,1.77,52.50
7466,22173,22372,1.77,52.50
7467,22174,22373,1.69,52.50
7468,22175,22374,1.65,53.00
7469,22176,22375,1.62,53.50
7470,22177,22376,1.65,53.00
7471,22178,22377,1.69,53.50
7472,22179,22378,1.66,54.00
7473,22180,22379,1.66,54.00
